LinksNoQuotes,Country,Region,State,Date,Type_Subset,FileType
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/data/calendar.csv.gz,canada,on,toronto,42708,data,calendar.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/data/listings.csv.gz,canada,on,toronto,42708,data,listings.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/data/reviews.csv.gz,canada,on,toronto,42708,data,reviews.csv.gz
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/visualisations/listings.csv,canada,on,toronto,42708,visualisations,listings.csv
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/visualisations/neighbourhoods.csv,canada,on,toronto,42708,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/visualisations/neighbourhoods.geojson,canada,on,toronto,42708,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/on/toronto/2016-12-04/visualisations/reviews.csv,canada,on,toronto,42708,visualisations,reviews.csv
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/data/calendar.csv.gz,canada,qc,montreal,42279,data,calendar.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/data/listings.csv.gz,canada,qc,montreal,42279,data,listings.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/data/reviews.csv.gz,canada,qc,montreal,42279,data,reviews.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/visualisations/listings.csv,canada,qc,montreal,42279,visualisations,listings.csv
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/visualisations/neighbourhoods.csv,canada,qc,montreal,42279,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/visualisations/neighbourhoods.geojson,canada,qc,montreal,42279,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/qc/montreal/2015-10-02/visualisations/reviews.csv,canada,qc,montreal,42279,visualisations,reviews.csv
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/data/calendar.csv.gz,canada,qc,montreal,42494,data,calendar.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/data/listings.csv.gz,canada,qc,montreal,42494,data,listings.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/data/reviews.csv.gz,canada,qc,montreal,42494,data,reviews.csv.gz
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/visualisations/listings.csv,canada,qc,montreal,42494,visualisations,listings.csv
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/visualisations/neighbourhoods.csv,canada,qc,montreal,42494,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/visualisations/neighbourhoods.geojson,canada,qc,montreal,42494,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/qc/montreal/2016-05-04/visualisations/reviews.csv,canada,qc,montreal,42494,visualisations,reviews.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/data/calendar.csv.gz,canada,qc,quebec-city,42591,data,calendar.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/data/listings.csv.gz,canada,qc,quebec-city,42591,data,listings.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/data/reviews.csv.gz,canada,qc,quebec-city,42591,data,reviews.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/visualisations/listings.csv,canada,qc,quebec-city,42591,visualisations,listings.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/visualisations/neighbourhoods.csv,canada,qc,quebec-city,42591,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/visualisations/neighbourhoods.geojson,canada,qc,quebec-city,42591,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/qc/quebec-city/2016-08-09/visualisations/reviews.csv,canada,qc,quebec-city,42591,visualisations,reviews.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/data/calendar.csv.gz,canada,qc,quebec-city,42623,data,calendar.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/data/listings.csv.gz,canada,qc,quebec-city,42623,data,listings.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/data/reviews.csv.gz,canada,qc,quebec-city,42623,data,reviews.csv.gz
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/visualisations/listings.csv,canada,qc,quebec-city,42623,visualisations,listings.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/visualisations/neighbourhoods.csv,canada,qc,quebec-city,42623,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/visualisations/neighbourhoods.geojson,canada,qc,quebec-city,42623,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/canada/qc/quebec-city/2016-09-10/visualisations/reviews.csv,canada,qc,quebec-city,42623,visualisations,reviews.csv
http://data.insideairbnb.com/china/hk/hong-kong/2016-08-07/data/calendar.csv.gz,china,hk,hong-kong,42589,data,calendar.csv.gz
